Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Bruno Mars,That's What I Like (feat. Gucci Mane),60,0.854,0.564,1,-4.964,1,0.0485,0.0171,,0.0849,0.899,134.071,234596,4,5
Boston,Hitch a Ride,54,0.382,0.814,3,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733,4,10
The Raincoats,No Side to Fall In,35,0.434,0.614,6,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667,4,6
Deno,Lingo (feat. J.I & Chunkz),66,0.853,0.597,10,-6.528,0,0.0555,0.0212,,0.122,0.569,107.033,173968,4,5
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53,0.167,0.975,2,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960,4,10
The Stooges,Search and Destroy - Iggy Pop Mix,53,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,4,6
Solomon Burke,None Of Us Are Free,48,0.674,0.658,5,-9.647,0,0.104,0.404,1.34E-06,0.0981,0.677,143.292,329387,4,2
Randy Travis,On the Other Hand,55,0.657,0.415,5,-9.915,1,0.025,0.175,5.65E-06,0.132,0.347,96.03,3.105783333,4,4
Professional Murder Music,Slow,29,0.431,0.776,10,-5.403,1,0.0527,2.21E-05,0.0013,0.179,0.318,120.857,237867,4,8
Dudu Aharon,"דודו, יאללה יאללה",14,0.716,0.885,1,-4.348,0,0.0333,0.0614,,0.253,0.833,128.043,164093,4,9
Mohammed Rafi,Meri Dosti Mera Pyar,11,0.491,0.563,7,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,3
Arctic Monkeys,The View From The Afternoon,59,0.387,0.922,9,-5.192,0,0.0674,0.00487,,0.187,0.417,146.478,222947,4,10
Eyal Golan,קרובה אליי,34,0.585,0.381,1,-7.622,0,0.0463,0.435,,0.126,0.322,143.876,206875,4,9
"Harald Lassen, Bram de Looze",How it feels pt. 2,34,0.462,0.374,11,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,4.44025,3,7
